Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1989:Q3,Top1,4805988,4925642,593818,358552,880037,401038,1327343,1364854,119654,71750,24726,23178
1989:Q3,Next9,7608851,8108393,2074339,420178,805687,1829400,1014376,1964413,499542,394927,56898,47717
1989:Q3,Next40,7237838,8808547,3405115,757557,341989,2053904,581912,1668070,1570710,1158431,362533,49746
1989:Q3,Bottom50,755900,1716429,817671,360062,24036,201432,45996,267233,960530,585582,340050,34898
1989:Q4,Top1,4916785,5039570,636289,360681,903569,420400,1326026,1392605,122785,73947,22945,25893
1989:Q4,Next9,7742918,8255281,2103795,419556,823497,1867008,1041482,1999943,512363,405409,60118,46836
1989:Q4,Next40,7400123,8998219,3453608,774622,360965,2122460,579779,1706785,1598096,1178992,369196,49908
1989:Q4,Bottom50,732018,1723854,800625,370916,25520,204253,49544,272996,991836,601767,357027,33042
1990:Q1,Top1,4901643,5029342,652710,352391,840733,425391,1347038,1411079,127699,77206,22938,27555
1990:Q1,Next9,7744421,8280713,2096312,432846,776953,1905476,1046422,2022703,536291,426817,60089,49385
1990:Q1,Next40,7477241,9089343,3461651,797977,351491,2159764,583677,1734784,1612102,1206056,355239,50807
1990:Q1,Bottom50,767747,1779574,838189,383915,25488,202568,50489,278925,1011827,624832,354054,32941
1990:Q2,Top1,5012063,5143096,688936,353979,879944,442405,1360989,1416844,131034,80095,21689,29250
1990:Q2,Next9,7821295,8379350,2112535,431488,797557,1951733,1049568,2036469,558055,446749,61903,49403
1990:Q2,Next40,7570538,9201991,3486328,813078,359503,2198942,586513,1757627,1631453,1227283,353331,50839
1990:Q2,Bottom50,748193,1782836,817968,393966,27550,206752,51985,284615,1034643,641284,361789,31570
1990:Q3,Top1,4872500,5006808,700822,340514,701937,435840,1371427,1456267,134308,82458,20302,31548
1990:Q3,Next9,7773391,8341935,2100127,444429,669443,1995318,1063769,2068849,568544,459618,64275,44651
1990:Q3,Next40,7578201,9230229,3488196,830399,319568,2221997,583429,1786641,1652028,1247575,354412,50041
1990:Q3,Bottom50,779966,1838140,868805,400904,25187,198307,53111,291825,1058174,657087,373313,27774
1990:Q4,Top1,5048418,5185655,718259,332526,797057,453470,1380683,1503660,137238,84221,19295,33722
1990:Q4,Next9,7908159,8485260,2075881,453267,741271,2017881,1083171,2113789,577101,463527,66487,47087
1990:Q4,Next40,7728703,9401308,3489136,844403,363620,2295308,577478,1831363,1672604,1267900,354029,50675
1990:Q4,Bottom50,780789,1866379,877177,408924,28149,203400,53334,295395,1085590,673607,384580,27403
1991:Q1,Top1,5232974,5374826,739700,331752,936144,484656,1373557,1509017,141853,85983,19712,36158
1991:Q1,Next9,8046656,8628780,2087222,455256,846032,2016300,1095667,2128304,582124,468366,65955,47803
1991:Q1,Next40,7892658,9568351,3472206,860444,425668,2381487,570397,1858149,1675693,1286562,337483,51648
